Time (s),o1,o2,fwd_force,filtered_force_1,filtered_force_2,filtered_force_3,filtered_force_4,filtered_force_5,filtered_force_6,error_force,gamma_1,gamma_2,gamma_3,gamma_4,gamma_5,gamma_6
0.000, 0.734, -0.774, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.020, 0.670, -0.859, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.040, 0.603, -0.883, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.060, 0.535, -0.886, 0.000, 0.101, 0.158, 0.216, 0.101, 0.158, 0.216, 0.101, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.080, 0.463, -0.883, 0.000, 0.189, 0.246, 0.304, 0.189, 0.246, 0.304, 0.189, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.100, 0.380, -0.878, 0.000, 0.846, 1.000, 1.000, 0.846, 1.000, 1.000, 0.846, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001
0.120, 0.279, -0.871, 0.000, 0.299, 1.000, 1.000, 0.404, 1.000, 1.000, 0.299, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001
0.140, 0.146, -0.861, 0.000, 0.000, 1.000, 1.000, 0.000, 1.000, 1.000, 0.000, 0.000, 0.001, 0.001, 0.000, 0.001, 0.001
0.160, -0.037, -0.847, 0.000, 0.000, 1.000, 1.000, 0.000, 1.000, 1.000, 0.000, 0.000, 0.002, 0.002, 0.000, 0.002, 0.002
0.180, -0.281, -0.826, 0.000, 0.000, 1.000, 1.000, 0.000, 1.000, 1.000, 0.000, 0.000, 0.002, 0.002, 0.000, 0.002, 0.002
0.200, -0.555, -0.792, 0.000, 0.000, 1.000, 1.000, 0.000, 1.000, 1.000, 0.000, 0.000, 0.002, 0.002, 0.000, 0.002, 0.002
0.220, -0.761, -0.741, 0.000, 1.000, 0.000, 1.000, 1.000, 0.000, 1.000, 1.000, 0.001, 0.001, 0.002, 0.001, 0.001, 0.002
0.240, -0.855, -0.676, 0.000, 1.000, 0.000, 1.000, 1.000, 0.000, 1.000, 1.000, 0.001, 0.001, 0.002, 0.001, 0.001, 0.002
0.260, -0.883, -0.607, 0.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.001, 0.001, 0.002, 0.001, 0.001, 0.002
0.280, -0.887, -0.536, 0.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002
0.300, -0.884, -0.460, 0.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002
0.320, -0.878, -0.374, 0.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002
0.340, -0.871, -0.268, 0.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.002, 0.002, 0.003, 0.002, 0.002, 0.003
0.360, -0.861, -0.129, 0.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.002, 0.002, 0.003, 0.002, 0.002, 0.003
0.380, -0.846, 0.061, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002
0.400, -0.824, 0.312, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.001, 0.002, 0.002, 0.001, 0.002, 0.002
0.420, -0.789, 0.582, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.001, 0.001, 0.002, 0.001, 0.001, 0.002
0.440, -0.736, 0.776, 1.000, 1.000, 1.000, 0.548, 1.000, 1.000, 1.000, 0.000, 0.001, 0.001, 0.002, 0.001, 0.001, 0.002
0.460, -0.672, 0.859, 1.000, 1.000, 1.000, 0.145, 1.000, 1.000, 0.278, 0.000, 0.001, 0.001, 0.002, 0.001, 0.001, 0.002
0.480, -0.605, 0.883, 1.000, 1.000, 1.000, 0.709, 1.000, 1.000, 0.740, 0.000, 0.001, 0.001, 0.002, 0.001, 0.001, 0.002
0.500, -0.538, 0.886, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.001, 0.001, 0.002, 0.001, 0.001, 0.002
0.520, -0.468, 0.883, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.001, 0.001, 0.002, 0.001, 0.001, 0.002
0.540, -0.390, 0.877, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.001, 0.001, 0.002, 0.001, 0.001, 0.002
0.560, -0.297, 0.870, 1.000, 1.000, 0.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.001, 0.002, 0.002, 0.001, 0.001, 0.002
0.580, -0.175, 0.860, 1.000, 1.000, 0.105, 1.000, 1.000, 1.000, 1.000, 0.000, 0.001, 0.002, 0.002, 0.001, 0.001, 0.002
0.600, -0.009, 0.848, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.001, 0.002, 0.002, 0.001, 0.001, 0.001
0.620, 0.215, 0.829, 1.000, 1.000, 1.000, 1.000, 1.000, 0.857, 1.000, 0.000, 0.001, 0.002, 0.002, 0.001, 0.001, 0.001
0.640, 0.485, 0.799, 1.000, 1.000, 0.000, 1.000, 1.000, 0.000, 1.000, 0.000, 0.001, 0.002, 0.002, 0.001, 0.002, 0.001
0.660, 0.717, 0.754, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.001, 0.002, 0.002, 0.001, 0.002, 0.001
0.680, 0.838, 0.692, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.001, 0.002, 0.002, 0.001, 0.001, 0.001
0.700, 0.878, 0.624, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.001, 0.002, 0.002, 0.001, 0.001, 0.001
0.720, 0.886, 0.556, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.001, 0.002, 0.002, 0.001, 0.001, 0.001
0.740, 0.884, 0.485, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001
0.760, 0.880, 0.406, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001
0.780, 0.873, 0.312, 1.000, 0.384, 1.000, 1.000, 0.262, 1.000, 1.000, 0.616, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001
0.800, 0.864, 0.188, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001
0.820, 0.852, 0.021, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.001, 0.002, 0.002, 0.001, 0.002, 0.002
0.840, 0.833, -0.206, 0.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002
0.860, 0.804, -0.478, 0.000, 0.000, 1.000, 1.000, 0.655, 1.000, 1.000, 0.000, 0.001, 0.003, 0.003, 0.002, 0.003, 0.003
0.880, 0.758, -0.714, 0.000, 0.000, 1.000, 1.000, 0.000, 1.000, 0.000, 0.000, 0.001, 0.003, 0.003, 0.002, 0.003, 0.002
0.900, 0.697, -0.837, 0.000, 0.000, 1.000, 1.000, 0.000, 1.000, 0.000, 0.000, 0.001, 0.003, 0.003, 0.001, 0.003, 0.002
0.920, 0.630, -0.878, 0.000, 0.000, 1.000, 1.000, 0.000, 1.000, 0.000, 0.000, 0.001, 0.003, 0.003, 0.001, 0.003, 0.002
0.940, 0.562, -0.887, 0.000, 0.000, 1.000, 1.000, 0.000, 1.000, 0.000, 0.000, 0.001, 0.003, 0.003, 0.001, 0.003, 0.002
0.960, 0.492, -0.885, 0.000, 0.000, 1.000, 1.000, 0.000, 1.000, 0.000, 0.000, 0.001, 0.003, 0.003, 0.001, 0.003, 0.002
0.980, 0.414, -0.880, 0.000, 0.000, 1.000, 0.795, 0.000, 1.000, 0.000, 0.000, 0.001, 0.003, 0.003, 0.001, 0.003, 0.002
1.000, 0.322, -0.874, 0.000, 0.000, 1.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.001, 0.004, 0.003, 0.001, 0.003, 0.002
1.020, 0.203, -0.865, 0.000, 0.000, 1.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.001, 0.004, 0.003, 0.001, 0.004, 0.002
1.040, 0.042, -0.853, 0.000, 0.000, 1.000, 1.000, 0.000, 1.000, 1.000, 0.000, 0.001, 0.004, 0.003, 0.001, 0.004, 0.002
1.060, -0.178, -0.836, 0.000, 0.332, 0.000, 1.000, 0.154, 0.000, 1.000, 0.332, 0.001, 0.003, 0.003, 0.001, 0.003, 0.003
1.080, -0.449, -0.808, 0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 1.000, 0.000, 0.001, 0.003, 0.004, 0.001, 0.003, 0.003
1.100, -0.693, -0.764, 0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 1.000, 0.000, 0.001, 0.003, 0.004, 0.001, 0.003, 0.003
1.120, -0.831, -0.700, 0.000, 1.000, 1.000, 0.000, 1.000, 0.000, 1.000, 1.000, 0.002, 0.003, 0.003, 0.002, 0.003, 0.003
1.140, -0.877, -0.627, 0.000, 1.000, 0.000, 0.000, 1.000, 0.000, 1.000, 1.000, 0.002, 0.003, 0.003, 0.002, 0.002, 0.003
1.160, -0.887, -0.556, 0.000, 1.000, 0.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.002, 0.003, 0.003, 0.002, 0.003, 0.004
1.180, -0.885, -0.480, 0.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 1.000, 0.002, 0.003, 0.004, 0.003, 0.003, 0.003
1.200, -0.880, -0.397, 0.000, 1.000, 1.000, 0.000, 1.000, 1.000, 0.000, 1.000, 0.003, 0.004, 0.003, 0.003, 0.004, 0.003
1.220, -0.873, -0.297, 0.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 1.000, 0.003, 0.004, 0.004, 0.003, 0.004, 0.003
1.240, -0.863, -0.169, 0.000, 1.000, 1.000, 0.000, 1.000, 1.000, 0.000, 1.000, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002
1.260, -0.850, 0.005, 1.000, 0.000, 1.000, 0.000, 1.000, 1.000, 0.000, 1.000, 0.003, 0.003, 0.004, 0.002, 0.003, 0.003
1.280, -0.830, 0.241, 1.000, 0.000, 1.000, 0.000, 1.000, 1.000, 0.000, 1.000, 0.003, 0.003, 0.004, 0.002, 0.003, 0.003
1.300, -0.799, 0.515, 1.000, 0.000, 1.000, 0.000, 1.000, 1.000, 0.000, 1.000, 0.003, 0.003, 0.004, 0.002, 0.003, 0.004
1.320, -0.750, 0.737, 1.000, 0.171, 1.000, 0.000, 1.000, 1.000, 0.000, 0.829, 0.003, 0.003, 0.004, 0.002, 0.003, 0.004
1.340, -0.688, 0.846, 1.000, 0.000, 1.000, 0.000, 1.000, 1.000, 0.000, 1.000, 0.003, 0.003, 0.005, 0.002, 0.003, 0.004
1.360, -0.621, 0.880, 1.000, 0.000, 1.000, 0.000, 1.000, 1.000, 0.000, 1.000, 0.003, 0.003, 0.005, 0.002, 0.003, 0.004
1.380, -0.553, 0.887, 1.000, 0.426, 1.000, 0.000, 0.186, 1.000, 0.000, 0.574, 0.003, 0.003, 0.005, 0.002, 0.003, 0.004
1.400, -0.483, 0.884, 1.000, 0.629, 1.000, 0.000, 0.000, 1.000, 0.000, 0.371, 0.003, 0.003, 0.005, 0.003, 0.003, 0.004
1.420, -0.405, 0.879, 1.000, 0.697, 1.000, 0.000, 0.284, 1.000, 0.000, 0.303, 0.003, 0.003, 0.005, 0.003, 0.003, 0.004
1.440, -0.312, 0.872, 1.000, 0.699, 1.000, 0.000, 0.063, 1.000, 0.000, 0.301, 0.003, 0.003, 0.005, 0.003, 0.003, 0.004
1.460, -0.203, 0.860, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.000, 0.003, 0.003, 0.005, 0.003, 0.003, 0.005
1.480, -0.045, 0.851, 1.000, 0.628, 0.000, 1.000, 1.000, 1.000, 0.000, 0.372, 0.003, 0.003, 0.004, 0.002, 0.003, 0.005
1.500, 0.164, 0.832, 1.000, 1.000, 0.000, 1.000, 1.000, 1.000, 0.000, 0.000, 0.003, 0.004, 0.004, 0.002, 0.003, 0.005
1.520, 0.433, 0.807, 1.000, 0.000, 1.000, 0.000, 1.000, 1.000, 0.000, 1.000, 0.003, 0.003, 0.005, 0.002, 0.003, 0.005
1.540, 0.681, 0.765, 1.000, 0.000, 1.000, 0.000, 1.000, 1.000, 0.000, 1.000, 0.003, 0.003, 0.005, 0.002, 0.003, 0.005
1.560, 0.824, 0.707, 1.000, 0.000, 1.000, 0.000, 1.000, 1.000, 0.000, 1.000, 0.004, 0.003, 0.005, 0.002, 0.003, 0.005
1.580, 0.874, 0.636, 1.000, 1.000, 1.000, 0.000, 1.000, 1.000, 0.000, 0.000, 0.003, 0.003, 0.005, 0.002, 0.003, 0.005
1.600, 0.885, 0.568, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.000, 0.003, 0.003, 0.005, 0.002, 0.003, 0.005
1.620, 0.885, 0.498, 1.000, 0.722, 1.000, 1.000, 1.000, 1.000, 1.000, 0.278, 0.003, 0.003, 0.005, 0.002, 0.003, 0.005
1.640, 0.880, 0.418, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.003, 0.003, 0.004, 0.002, 0.003, 0.004
1.660, 0.874, 0.327, 1.000, 0.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.003, 0.003, 0.004, 0.002, 0.003, 0.004
1.680, 0.866, 0.210, 1.000, 0.000, 1.000, 1.000, 0.000, 1.000, 1.000, 1.000, 0.004, 0.003, 0.004, 0.003, 0.003, 0.004
1.700, 0.853, 0.047, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.003, 0.003, 0.005, 0.002, 0.003, 0.005
1.720, 0.835, -0.172, 0.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.004, 0.003, 0.005, 0.003, 0.003, 0.005
1.740, 0.807, -0.441, 0.000, 1.000, 1.000, 1.000, 1.000, 0.000, 1.000, 1.000, 0.004, 0.004, 0.005, 0.003, 0.003, 0.005
1.760, 0.762, -0.685, 0.000, 1.000, 1.000, 1.000, 1.000, 0.000, 1.000, 1.000, 0.004, 0.004, 0.006, 0.003, 0.003, 0.005
1.780, 0.699, -0.820, 0.000, 1.000, 0.000, 1.000, 1.000, 0.000, 1.000, 1.000, 0.004, 0.004, 0.006, 0.004, 0.003, 0.006
1.800, 0.620, -0.865, 0.000, 1.000, 0.000, 1.000, 1.000, 0.000, 1.000, 1.000, 0.004, 0.003, 0.006, 0.004, 0.003, 0.006
1.820, 0.531, -0.872, 0.000, 1.000, 0.000, 1.000, 0.000, 0.000, 1.000, 1.000, 0.005, 0.003, 0.006, 0.003, 0.003, 0.006
1.840, 0.429, -0.867, 0.000, 1.000, 0.000, 0.498, 0.000, 0.000, 1.000, 1.000, 0.005, 0.003, 0.006, 0.003, 0.003, 0.006
1.860, 0.302, -0.858, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 1.000, 1.000, 0.005, 0.003, 0.005, 0.003, 0.003, 0.006
1.880, 0.129, -0.843, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 1.000, 1.000, 0.005, 0.003, 0.005, 0.003, 0.003, 0.006
1.900, -0.099, -0.826, 0.000, 1.000, 0.000, 1.000, 0.000, 0.000, 1.000, 1.000, 0.005, 0.003, 0.006, 0.003, 0.003, 0.006
1.920, -0.365, -0.806, 0.000, 1.000, 0.000, 1.000, 0.319, 0.217, 0.000, 1.000, 0.005, 0.003, 0.006, 0.003, 0.003, 0.006
1.940, -0.627, -0.773, 0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 1.000, 0.000, 0.005, 0.003, 0.006, 0.003, 0.003, 0.006
1.960, -0.809, -0.703, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 1.000, 1.000, 0.005, 0.003, 0.006, 0.003, 0.003, 0.006
1.980, -0.874, -0.619, 0.000, 1.000, 0.000, 0.000, 1.000, 0.000, 1.000, 1.000, 0.005, 0.003, 0.005, 0.003, 0.003, 0.006
2.000, -0.885, -0.553, 0.000, 0.000, 1.000, 1.000, 0.000, 1.000, 0.000, 0.000, 0.005, 0.004, 0.006, 0.003, 0.003, 0.006
2.020, -0.884, -0.483, 0.000, 0.000, 1.000, 1.000, 0.000, 1.000, 0.000, 0.000, 0.004, 0.004, 0.006, 0.003, 0.004, 0.005
2.040, -0.879, -0.404, 0.000, 0.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.004, 0.004, 0.006, 0.003, 0.004, 0.006
2.060, -0.873, -0.304, 0.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 1.000, 0.005, 0.005, 0.006, 0.004, 0.004, 0.006
2.080, -0.865, -0.171, 0.000, 1.000, 1.000, 0.000, 1.000, 1.000, 1.000, 1.000, 0.005, 0.005, 0.006, 0.004, 0.004, 0.005
2.100, -0.853, 0.007, 1.000, 1.000, 1.000, 0.000, 1.000, 1.000, 1.000, 0.000, 0.005, 0.005, 0.006, 0.004, 0.004, 0.005
2.120, -0.835, 0.243, 1.000, 1.000, 1.000, 0.000, 1.000, 0.483, 1.000, 0.000, 0.004, 0.005, 0.006, 0.004, 0.004, 0.005
2.140, -0.807, 0.509, 1.000, 1.000, 0.000, 0.000, 1.000, 0.000, 1.000, 0.000, 0.004, 0.005, 0.006, 0.004, 0.004, 0.005
2.160, -0.765, 0.723, 1.000, 1.000, 0.000, 0.000, 1.000, 0.000, 1.000, 0.000, 0.004, 0.005, 0.007, 0.004, 0.004, 0.005
2.180, -0.714, 0.830, 1.000, 1.000, 0.000, 0.000, 0.451, 0.000, 1.000, 0.000, 0.004, 0.005, 0.007, 0.004, 0.005, 0.005
2.200, -0.662, 0.866, 1.000, 1.000, 0.000, 0.000, 0.870, 0.000, 1.000, 0.000, 0.004, 0.005, 0.007, 0.004, 0.005, 0.005
2.220, -0.615, 0.875, 1.000, 1.000, 0.000, 0.000, 0.000, 0.000, 1.000, 0.000, 0.004, 0.005, 0.007, 0.004, 0.005, 0.005
2.240, -0.572, 0.875, 1.000, 1.000, 0.000, 0.000, 0.000, 0.000, 1.000, 0.000, 0.004, 0.005, 0.007, 0.004, 0.005, 0.005
2.260, -0.531, 0.872, 1.000, 1.000, 0.000, 0.000, 0.000, 0.000, 1.000, 0.000, 0.004, 0.006, 0.007, 0.005, 0.005, 0.005
2.280, -0.491, 0.868, 1.000, 1.000, 0.000, 0.000, 0.000, 0.000, 1.000, 0.000, 0.004, 0.006, 0.007, 0.005, 0.005, 0.005
2.300, -0.433, 0.869, 1.000, 1.000, 0.000, 1.000, 1.000, 0.000, 1.000, 0.000, 0.004, 0.006, 0.007, 0.004, 0.005, 0.005
2.320, -0.353, 0.870, 1.000, 1.000, 0.000, 1.000, 1.000, 0.000, 0.000, 0.000, 0.004, 0.006, 0.006, 0.004, 0.005, 0.006
2.340, -0.251, 0.864, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.000, 0.004, 0.005, 0.006, 0.004, 0.005, 0.006
2.360, -0.123, 0.853, 1.000, 1.000, 1.000, 0.000, 0.462, 1.000, 0.000, 0.000, 0.004, 0.005, 0.007, 0.004, 0.004, 0.006
2.380, 0.046, 0.837, 1.000, 1.000, 1.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.004, 0.005, 0.007, 0.004, 0.004, 0.006
2.400, 0.262, 0.811, 1.000, 1.000, 0.000, 0.000, 1.000, 1.000, 0.000, 0.000, 0.004, 0.005, 0.007, 0.004, 0.004, 0.007
2.420, 0.524, 0.782, 1.000, 1.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.004, 0.006, 0.007, 0.004, 0.005, 0.007
2.440, 0.738, 0.736, 1.000, 1.000, 0.000, 1.000, 1.000, 0.000, 1.000, 0.000, 0.004, 0.006, 0.007, 0.004, 0.005, 0.006
2.460, 0.842, 0.670, 1.000, 1.000, 0.000, 1.000, 1.000, 0.000, 1.000, 0.000, 0.004, 0.006, 0.007, 0.004, 0.005, 0.006
2.480, 0.877, 0.601, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.004, 0.006, 0.006, 0.004, 0.005, 0.006
2.500, 0.885, 0.534, 1.000, 0.296, 1.000, 1.000, 0.000, 1.000, 1.000, 0.704, 0.004, 0.005, 0.006, 0.004, 0.005, 0.006
2.520, 0.882, 0.457, 1.000, 1.000, 1.000, 1.000, 0.992, 1.000, 1.000, 0.000, 0.004, 0.005, 0.006, 0.004, 0.004, 0.006
2.540, 0.877, 0.371, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.004, 0.005, 0.006, 0.004, 0.004, 0.005
2.560, 0.870, 0.268, 1.000, 0.000, 1.000, 1.000, 1.000, 0.917, 1.000, 1.000, 0.005, 0.005, 0.007, 0.004, 0.004, 0.005
2.580, 0.860, 0.131, 1.000, 0.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.005, 0.005, 0.007, 0.004, 0.005, 0.006
2.600, 0.845, -0.059, 0.000, 1.000, 1.000, 1.000, 1.000, 0.000, 1.000, 1.000, 0.005, 0.006, 0.007, 0.004, 0.005, 0.006
2.620, 0.822, -0.308, 0.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.005, 0.006, 0.008, 0.005, 0.005, 0.007
2.640, 0.787, -0.580, 0.000, 0.000, 0.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.005, 0.006, 0.008, 0.005, 0.005, 0.007
2.660, 0.735, -0.775, 0.000, 0.000, 0.000, 1.000, 1.000, 0.000, 0.380, 0.000, 0.005, 0.005, 0.008, 0.005, 0.005, 0.007
2.680, 0.671, -0.859, 0.000, 0.000, 0.000, 1.000, 1.000, 0.000, 0.000, 0.000, 0.005, 0.005, 0.008, 0.005, 0.005, 0.006
2.700, 0.604, -0.883, 0.000, 0.000, 0.000, 1.000, 1.000, 0.000, 0.000, 0.000, 0.004, 0.005, 0.008, 0.005, 0.005, 0.006
2.720, 0.535, -0.887, 0.000, 0.000, 0.000, 1.000, 1.000, 0.000, 1.000, 0.000, 0.004, 0.005, 0.008, 0.005, 0.005, 0.006
2.740, 0.463, -0.883, 0.000, 0.000, 0.000, 1.000, 1.000, 0.000, 0.000, 0.000, 0.004, 0.005, 0.008, 0.006, 0.004, 0.006
2.760, 0.381, -0.878, 0.000, 0.000, 0.000, 1.000, 1.000, 0.000, 1.000, 0.000, 0.004, 0.005, 0.008, 0.006, 0.004, 0.007
2.780, 0.280, -0.871, 0.000, 0.000, 0.000, 1.000, 1.000, 0.000, 1.000, 0.000, 0.004, 0.005, 0.008, 0.006, 0.004, 0.007
2.800, 0.147, -0.861, 0.000, 0.000, 0.000, 1.000, 1.000, 0.000, 1.000, 0.000, 0.004, 0.005, 0.008, 0.006, 0.004, 0.007
2.820, -0.036, -0.847, 0.000, 0.000, 0.000, 1.000, 1.000, 0.000, 0.000, 0.000, 0.004, 0.005, 0.009, 0.006, 0.004, 0.007
2.840, -0.280, -0.826, 0.000, 0.000, 1.000, 1.000, 1.000, 0.000, 0.000, 0.000, 0.004, 0.006, 0.009, 0.006, 0.004, 0.006
2.860, -0.553, -0.793, 0.000, 0.000, 1.000, 0.000, 1.000, 1.000, 0.000, 0.000, 0.004, 0.006, 0.008, 0.006, 0.005, 0.006
2.880, -0.765, -0.736, 0.000, 1.000, 1.000, 0.000, 0.000, 1.000, 1.000, 1.000, 0.005, 0.006, 0.008, 0.006, 0.005, 0.007
2.900, -0.860, -0.659, 0.000, 1.000, 0.000, 1.000, 0.000, 1.000, 1.000, 1.000, 0.005, 0.006, 0.008, 0.005, 0.006, 0.007
2.920, -0.885, -0.578, 0.000, 1.000, 0.000, 1.000, 0.000, 1.000, 1.000, 1.000, 0.005, 0.006, 0.008, 0.005, 0.006, 0.007
2.940, -0.886, -0.496, 0.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.006, 0.006, 0.008, 0.006, 0.006, 0.007
2.960, -0.882, -0.410, 0.000, 1.000, 1.000, 0.000, 1.000, 0.000, 0.000, 1.000, 0.006, 0.006, 0.008, 0.006, 0.005, 0.007
2.980, -0.875, -0.307, 0.000, 1.000, 0.965, 1.000, 1.000, 0.000, 0.000, 1.000, 0.006, 0.006, 0.008, 0.006, 0.005, 0.007
3.000, -0.866, -0.176, 0.000, 1.000, 0.000, 1.000, 1.000, 0.000, 0.000, 1.000, 0.006, 0.007, 0.008, 0.006, 0.005, 0.007
3.020, -0.852, -0.002, 0.000, 1.000, 0.000, 1.000, 1.000, 1.000, 0.000, 1.000, 0.006, 0.007, 0.008, 0.005, 0.005, 0.008
3.040, -0.833, 0.232, 1.000, 1.000, 0.000, 1.000, 1.000, 1.000, 0.000, 0.000, 0.006, 0.007, 0.007, 0.005, 0.005, 0.008
3.060, -0.802, 0.505, 1.000, 1.000, 0.000, 1.000, 1.000, 1.000, 0.000, 0.000, 0.005, 0.007, 0.007, 0.005, 0.005, 0.008
3.080, -0.754, 0.731, 1.000, 0.000, 0.000, 1.000, 1.000, 0.000, 0.000, 1.000, 0.006, 0.007, 0.007, 0.005, 0.005, 0.008
3.100, -0.691, 0.844, 1.000, 0.000, 0.000, 1.000, 1.000, 0.000, 0.000, 1.000, 0.006, 0.007, 0.007, 0.005, 0.006, 0.008
3.120, -0.624, 0.880, 1.000, 0.000, 0.000, 1.000, 1.000, 0.000, 1.000, 1.000, 0.006, 0.007, 0.007, 0.005, 0.006, 0.008
3.140, -0.556, 0.887, 1.000, 0.000, 0.000, 1.000, 1.000, 0.000, 0.000, 1.000, 0.006, 0.007, 0.007, 0.005, 0.006, 0.008
3.160, -0.492, 0.883, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.000, 0.000, 0.006, 0.007, 0.007, 0.005, 0.006, 0.008
3.180, -0.415, 0.879, 1.000, 0.075, 1.000, 0.000, 1.000, 0.000, 1.000, 0.925, 0.006, 0.006, 0.008, 0.005, 0.006, 0.008
3.200, -0.369, 0.859, 1.000, 1.000, 1.000, 0.000, 1.000, 0.000, 1.000, 0.000, 0.006, 0.006, 0.008, 0.005, 0.007, 0.007
3.220, -0.311, 0.850, 1.000, 1.000, 0.000, 0.000, 0.000, 1.000, 1.000, 0.000, 0.006, 0.007, 0.008, 0.006, 0.006, 0.007
3.240, -0.200, 0.855, 1.000, 1.000, 1.000, 0.000, 0.311, 1.000, 1.000, 0.000, 0.005, 0.007, 0.009, 0.006, 0.006, 0.007
3.260, -0.041, 0.849, 1.000, 0.000, 1.000, 0.000, 0.000, 1.000, 0.000, 1.000, 0.006, 0.006, 0.009, 0.006, 0.006, 0.008
3.280, 0.178, 0.834, 1.000, 0.000, 1.000, 0.000, 1.000, 1.000, 0.000, 1.000, 0.006, 0.006, 0.009, 0.006, 0.005, 0.008
